Bill Segment End Date,kWh Consumption Per Day
5/14/2023,49.84
2/11/2020,77.54
3/4/2022,66.56
3/30/2023,13.87
1/25/2020,36.35
4/11/2023,1.54
12/28/2022,66.39
12/15/2021,80.06
2/12/2024,42.72
7/15/2022,87.62
12/12/2021,91.74
3/5/2020,73.45
6/25/2020,3.51
3/27/2021,61.08
1/6/2024,39.67
12/10/2023,6.7
1/26/2021,72.94
6/18/2023,30.49
5/22/2022,21.76
3/14/2020,1.27
3/19/2020,70.85
4/12/2023,67.41
2/14/2022,4.71
9/23/2020,92.66
10/2/2021,57.99
3/19/2021,68.22
12/10/2021,85.01
12/17/2022,23.23
2/12/2021,60.2
1/6/2020,70.74
11/25/2022,76.69
11/16/2022,33.54
11/30/2020,56.13
3/15/2022,89.05
5/4/2022,27.49
9/17/2020,80.12
5/14/2022,28.49
4/16/2021,77.46
10/24/2023,88.55
9/29/2020,94.14
10/4/2022,52.01
7/26/2022,10.4
12/1/2021,64.85
3/13/2021,92.29
5/7/2021,79.84
10/5/2021,44.56
9/13/2021,75.54
3/4/2021,12.98
12/13/2022,24.29
6/21/2022,79.79
1/16/2020,56.96
6/16/2022,97.07
4/7/2023,62.03
6/15/2021,75.71
7/13/2022,50.12
3/5/2024,6.11
6/10/2021,74.7
3/27/2024,44.13
4/12/2020,22.81
9/17/2021,9.4
6/17/2021,54.07
1/16/2023,87.88
4/9/2020,21.7
10/29/2020,72.39
11/22/2022,76.52
3/6/2021,12.77
6/28/2023,62.12
8/23/2021,31.56
1/7/2020,66.44
1/12/2024,18.91
1/13/2024,76.1
7/5/2023,57.25
12/23/2023,81.19
7/25/2021,87.97
1/9/2021,26.69
5/7/2022,1.88
7/17/2020,89.24
3/31/2020,53.82
2/9/2021,7.79
9/2/2020,99.01
1/14/2021,65.82
12/22/2023,79.47
4/5/2022,65.24
9/27/2022,78.36
2/12/2022,46.78
6/21/2022,76.83
3/18/2022,25.49
6/18/2021,71.45
10/15/2021,45.17
4/9/2020,98.82
11/16/2022,38.94
3/4/2023,78.13
12/13/2023,30.85
11/27/2020,42.32
5/8/2023,69.08
1/9/2021,60.25
10/22/2023,95.15
1/31/2020,80.0
7/1/2023,80.98
11/30/2022,87.84
3/23/2020,87.93
1/30/2020,89.59
6/27/2020,89.46
7/14/2023,66.21
5/27/2022,84.86
9/2/2023,42.33
7/31/2023,76.15
9/6/2023,21.18
6/22/2023,21.09
4/1/2021,60.8
11/24/2022,22.55
4/13/2023,60.37
8/2/2022,14.51
4/5/2021,52.4
1/21/2021,27.61
4/29/2021,8.93
4/14/2020,82.63
1/30/2021,42.13
5/25/2023,89.51
9/24/2022,64.74
6/10/2023,50.14
5/31/2023,81.25
6/16/2023,14.6
2/19/2020,53.43
7/28/2020,47.64
11/20/2020,14.82
5/15/2021,21.41
6/17/2022,68.84
12/1/2020,97.14
9/6/2023,73.48
4/22/2021,63.97
3/31/2023,17.86
7/1/2023,59.17
11/11/2023,95.1
3/10/2021,49.07
9/4/2022,26.1
5/5/2022,87.23
8/13/2021,59.62
1/25/2024,48.32
11/9/2020,35.5
1/14/2021,22.44
2/11/2024,8.4
6/14/2023,53.11
7/6/2023,68.02
10/9/2022,81.42
8/26/2023,55.58
4/11/2020,3.56
2/1/2023,79.38
3/24/2022,77.95
1/20/2021,20.89
4/26/2021,69.37
1/31/2024,88.93
11/2/2020,91.5
10/26/2023,99.46
4/11/2022,41.17
9/25/2022,23.54
3/21/2021,24.43
7/2/2023,77.14
9/27/2022,51.7
2/3/2022,8.99
3/13/2024,11.76
6/16/2020,63.62
1/9/2021,97.46
9/7/2021,86.13
10/7/2023,41.48
11/18/2022,92.43
10/25/2022,11.05
4/1/2020,32.44
10/9/2020,34.58
7/2/2023,57.75
8/11/2021,30.63
9/22/2020,94.83
3/1/2023,79.11
11/20/2021,91.82
5/16/2023,39.18
1/7/2020,75.46
11/28/2020,27.16
6/9/2021,45.25
3/6/2020,65.89
3/21/2020,87.75
1/16/2020,30.6
5/11/2021,7.4
5/19/2021,70.43
11/25/2020,6.69
8/19/2021,61.32
8/25/2023,52.78
5/7/2021,65.73
10/31/2021,62.49
7/21/2020,81.39
4/8/2022,3.53
7/9/2023,45.22
1/27/2023,12.11
3/17/2020,5.53
6/10/2023,8.56
11/16/2021,66.75
2/18/2021,6.33
2/26/2020,44.31
11/2/2022,63.03
2/26/2021,23.46
9/26/2022,84.26
8/10/2021,80.92
5/24/2023,38.62
6/14/2021,22.37
8/16/2021,8.67
6/20/2020,3.58
6/13/2020,92.63
10/27/2022,32.12
12/15/2023,5.87
9/30/2021,49.55
7/19/2022,63.56
3/1/2021,13.5
1/3/2024,24.31
3/14/2024,61.13
3/9/2023,35.28
3/27/2021,69.05
7/22/2020,33.75
11/1/2022,32.22
12/2/2020,76.06
7/19/2022,28.46
12/6/2022,11.44
1/25/2024,10.18
4/22/2022,62.92
11/16/2020,23.31
4/15/2023,60.42
5/26/2023,82.39
2/6/2022,26.24
8/19/2020,96.0
10/23/2020,86.75
4/21/2022,90.68
3/11/2022,90.0
8/4/2022,32.74
9/24/2023,56.8
1/2/2020,84.65
2/6/2023,28.85
11/19/2021,11.77
2/27/2023,19.09
5/29/2021,95.91
3/18/2020,80.46
10/26/2022,18.63
3/7/2020,9.3
11/22/2023,98.34
7/11/2021,75.52
9/12/2020,47.81
6/19/2021,90.19
7/12/2023,18.09
1/24/2020,47.27
5/17/2020,1.5
2/4/2022,84.7
6/2/2023,63.42
